"uri","answer date","answering body","date tabled","question text","tabling member > label","tabling member printed","title","uin"
"http://data.parliament.uk/resources/13014","2013-09-09","HM Treasury","2013-09-04","To ask Mr Chancellor of the Exchequer, how much income has been received in respect of the marine land owned by the Crown Estate around Northern Ireland in the most recent financial year; and how much funding from that income has been allocated to the Coastal Communities Fund in Northern Ireland.","Biography information for Baroness Ritchie of Downpatrick","Ms Margaret Ritchie","House of Commons Tabled Parliamentary Question 2013/14 168059","168059"
"http://data.parliament.uk/resources/13015","2013-09-09","HM Treasury","2013-09-04","To ask Mr Chancellor of the Exchequer, what assessment he has made of the effects of fuel duty levels on people living in rural areas.","Biography information for Baroness Ritchie of Downpatrick","Ms Margaret Ritchie","House of Commons Tabled Parliamentary Question 2013/14 168060","168060"
"http://data.parliament.uk/resources/13016","2013-09-09","HM Treasury","2013-09-04","To ask Mr Chancellor of the Exchequer, what recent discussions he has had with representatives of the Royal Bank of Scotland on the future of Ulster Bank.","Biography information for Baroness Ritchie of Downpatrick","Ms Margaret Ritchie","House of Commons Tabled Parliamentary Question 2013/14 168061","168061"
"http://data.parliament.uk/resources/13017","2013-09-09","Department for Business, Innovation and Skills","2013-09-04","To ask the Secretary of State for Business, Innovation and Skills, what information his Department holds on the cash value of different types of goods imported from Ethiopia to the UK.","Biography information for David T. C. Davies","David T. C. Davies","House of Commons Tabled Parliamentary Question 2013/14 168062","168062"
"http://data.parliament.uk/resources/13018","2013-09-09","HM Treasury","2013-09-04","To ask Mr Chancellor of the Exchequer, what proportion of employers who have paid below the minimum wage in (a) the UK and (b) London have paid their employees (i) full back-pay and (ii) compensation for every year since the introduction of the national minimum wage.","Biography information for Mr David Lammy","Mr David Lammy","House of Commons Tabled Parliamentary Question 2013/14 168063","168063"
"http://data.parliament.uk/resources/13019","2013-09-09","Home Office","2013-09-04","To ask the Secretary of State for the Home Department, how many alleged instances of grievous bodily harm were reported to police forces in England and Wales in each year since 2009; and how many such allegations were classified as no crimes.","Biography information for Emily Thornberry","Emily Thornberry","House of Commons Tabled Parliamentary Question 2013/14 168064","168064"
"http://data.parliament.uk/resources/13020","2013-09-09","Ministry of Defence","2013-09-04","To ask the Secretary of State for Defence, how many combat vehicles which were (a) purchased and (b) hired by his Department since 2010 were manufactured in (i) the UK, (ii) another EU member state and (iii) a non-EU country; and how much his Department spent on each such vehicle.","Biography information for Mr Russell Brown","Mr Russell Brown","House of Commons Tabled Parliamentary Question 2013/14 168067","168067"
"http://data.parliament.uk/resources/13021","2013-09-09","Ministry of Defence","2013-09-04","To ask the Secretary of State for Defence, what estimate he has made of the (a) costs and (b) likely savings as a result of his Department's redundancy programme over the next five years.","Biography information for Mr Russell Brown","Mr Russell Brown","House of Commons Tabled Parliamentary Question 2013/14 168068","168068"
"http://data.parliament.uk/resources/13022","2013-09-09","Foreign and Commonwealth Office","2013-09-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, what reports he has received on the number of (a) lawful and (b) unlawful refusals of Palestinian requests for building permits and master plans in the West Bank since 29 July 2013; and if he will make a statement.","Biography information for Richard Burden","Richard Burden","House of Commons Tabled Parliamentary Question 2013/14 168069","168069"
"http://data.parliament.uk/resources/13023","2013-09-09","HM Treasury","2013-09-04","To ask Mr Chancellor of the Exchequer, what assessment he has made of the effect on full bank account number portability of new anti-money laundering requirements.","Biography information for Andrea Leadsom","Andrea Leadsom","House of Commons Tabled Parliamentary Question 2013/14 168070","168070"
"http://data.parliament.uk/resources/13024","2013-09-09","Home Office","2013-09-04","To ask the Secretary of State for the Home Department, how many people are in receipt of (a) section 95 support for asylum applicants and (b) section 4 support for a failed asylum applicant who cannot return home.","Biography information for Keith Vaz","Keith Vaz","House of Commons Tabled Parliamentary Question 2013/14 168071","168071"
"http://data.parliament.uk/resources/13025","2013-09-09","Department for Communities and Local Government","2013-09-04","To ask the Secretary of State for Communities and Local Government, what recent assessment he has made of the time taken by the Valuation Office to allocate council tax bandings to new properties; and if he will make a statement.","Biography information for Mr Laurence Robertson","Mr Laurence Robertson","House of Commons Tabled Parliamentary Question 2013/14 168073","168073"
"http://data.parliament.uk/resources/13026","2013-09-09","HM Treasury","2013-09-04","To ask Mr Chancellor of the Exchequer, what assessment he has made of the effect on the seven day switching service of new anti-money laundering requirements.","Biography information for Andrea Leadsom","Andrea Leadsom","House of Commons Tabled Parliamentary Question 2013/14 168074","168074"
"http://data.parliament.uk/resources/13027","2013-09-09","Ministry of Justice","2013-09-04","To ask the Secretary of State for Justice, how many people are enrolled in each offender behaviour programme in prisons in England.","Biography information for Steve Rotheram","Steve Rotheram","House of Commons Tabled Parliamentary Question 2013/14 168076","168076"
"http://data.parliament.uk/resources/13028","2013-09-09","Home Office","2013-09-04","To ask the Secretary of State for the Home Department, how many alleged rapes were reported to police forces in England and Wales in each year since 2009; and how many such allegations were subsequently classified as no crimes.","Biography information for Emily Thornberry","Emily Thornberry","House of Commons Tabled Parliamentary Question 2013/14 168077","168077"
"http://data.parliament.uk/resources/13029","2013-09-09","HM Treasury","2013-09-04","To ask Mr Chancellor of the Exchequer, what steps he plans to take to reduce the number of people using high interest lenders.","Biography information for Dan Jarvis","Dan Jarvis","House of Commons Tabled Parliamentary Question 2013/14 168079","168079"
